X,Y,gid,Name,description,X_ADDR,SHAPE_Length,FMEL_UPD_D,Region Name,Planning Area Name,Region Code,Subzone Name,Central Area Indicator,SHAPE,Y_ADDR,Subzone Code,INC_CRC,Subzone Number,SHAPE_Area,Planning Area Code,Field_1
103.7569115,1.332417142,154,TOH TUCK,,19433.1204,6119.883497,12/5/14 21:26,WEST REGION,CLEMENTI,WR,TOH TUCK,N,Polygon,34884.2481,CLSZ01,0E1BA5E467E89BE8,1,2077796.547,CL,TOH TUCK
103.8073919,1.33260273,156,HILLCREST,,25207.8426,7428.700261,12/5/14 21:26,CENTRAL REGION,BUKIT TIMAH,CR,HILLCREST,N,Polygon,35039.2942,BTSZ05,1DC35394CBDDDADD,5,2636483.259,BT,HILLCREST
103.8827483,1.336619487,157,JOO SENG,,33454.069,4254.531333,12/5/14 21:26,CENTRAL REGION,TOA PAYOH,CR,JOO SENG,N,Polygon,35419.7276,TPSZ12,33EC42B8FE3B21D0,12,1057165.244,TP,JOO SENG
103.8500148,1.340173878,161,BRADDELL,,29811.6006,3513.756935,12/5/14 21:26,CENTRAL REGION,TOA PAYOH,CR,BRADDELL,N,Polygon,35855.51,TPSZ03,849909336BD70CC9,3,446241.7919,TP,BRADDELL
103.8834456,1.313730727,163,ALJUNIED,,33592.5759,7100.699079,12/5/14 21:26,CENTRAL REGION,GEYLANG,CR,ALJUNIED,N,Polygon,32970.8301,GLSZ04,83AFAB768B6B2B66,4,2959367.625,GL,ALJUNIED
103.7083068,1.318756558,166,LIU FANG,,14079.1004,7135.442501,12/5/14 21:26,WEST REGION,BOON LAY,WR,LIU FANG,N,Polygon,33391.5623,BLSZ02,E793F02FC4904B9B,2,2338909.489,BL,LIU FANG
103.7414424,1.347901227,174,BUKIT BATOK WEST,,17865.8838,3414.799428,12/5/14 21:26,WEST REGION,BUKIT BATOK,WR,BUKIT BATOK WEST,N,Polygon,36623.2134,BKSZ06,2CB400C307F6BCD9,6,526383.3528,BK,BUKIT BATOK WEST
103.7674994,1.318134311,168,CLEMENTI NORTH,,20613.245,4251.445365,12/5/14 21:26,WEST REGION,CLEMENTI,WR,CLEMENTI NORTH,N,Polygon,33368.8225,CLSZ04,FE2A39D748C39557,4,991039.7807,CL,CLEMENTI NORTH
103.7418899,1.315414253,171,TEBAN GARDENS,,17965.7225,8204.29735,12/5/14 21:26,WEST REGION,JURONG EAST,WR,TEBAN GARDENS,N,Polygon,33016.3403,JESZ08,B2B5A419BCAB53ED,8,3187584.075,JE,TEBAN GARDENS
103.7107901,1.34622593,172,BOON LAY PLACE,,14403.7788,3708.366281,12/5/14 21:26,WEST REGION,JURONG WEST,WR,BOON LAY PLACE,N,Polygon,36444.6275,JWSZ02,87E39292C52D96D3,2,906317.3907,JW,BOON LAY PLACE
