X,Y,Name,Region Name,Planning Area Name,Region Code,Central Area Indicator,Subzone Code,Planning Area Code
103.7079901,1.326653489,TUKANG,WEST REGION,BOON LAY,WR,N,BLSZ01,BL
103.9163711,1.325029829,KEMBANGAN,EAST REGION,BEDOK,ER,N,BDSZ03,BD
103.7948905,1.308318137,HOLLAND DRIVE,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ02,QT
103.8520896,1.309172393,FARRER PARK,CENTRAL REGION,ROCHOR,CR,Y,RCSZ01,RC
103.7500486,1.348194466,BUKIT BATOK CENTRAL,WEST REGION,BUKIT BATOK,WR,N,BKSZ07,BK
103.7028897,1.307414567,SAMULUN,WEST REGION,BOON LAY,WR,N,BLSZ03,BL
103.8586644,1.311389129,LAVENDER,CENTRAL REGION,KALLANG,CR,N,KLSZ06,KL
103.8494239,1.313062582,KAMPONG JAVA,CENTRAL REGION,KALLANG,CR,N,KLSZ07,KL
103.7879412,1.311733731,GHIM MOH,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ01,QT
103.7550997,1.308113151,PANDAN,WEST REGION,CLEMENTI,WR,N,CLSZ09,CL
103.7768487,1.312276401,SINGAPORE POLYTECHNIC,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ09,QT
103.7629719,1.312712185,CLEMENTI CENTRAL,WEST REGION,CLEMENTI,WR,N,CLSZ06,CL
103.8650162,1.314541617,KALLANG BAHRU,CENTRAL REGION,KALLANG,CR,N,KLSZ08,KL
103.7431047,1.332645772,JURONG GATEWAY,WEST REGION,JURONG EAST,WR,N,JESZ05,JE
103.8967102,1.330369776,KAMPONG UBI,CENTRAL REGION,GEYLANG,CR,N,GLSZ03,GL
103.8741381,1.33367448,SENNETT,CENTRAL REGION,TOA PAYOH,CR,N,TPSZ11,TP
103.8659857,1.33337515,POTONG PASIR,CENTRAL REGION,TOA PAYOH,CR,N,TPSZ09,TP
103.8584179,1.336975802,PEI CHUN,CENTRAL REGION,TOA PAYOH,CR,N,TPSZ06,TP
103.8533942,1.335519762,BOON TECK,CENTRAL REGION,TOA PAYOH,CR,N,TPSZ04,TP
103.8705784,1.353153719,SERANGOON CENTRAL,NORTH-EAST REGION,SERANGOON,NER,N,SGSZ06,SG
103.8662566,1.339576624,WOODLEIGH,CENTRAL REGION,TOA PAYOH,CR,N,TPSZ08,TP
103.7309761,1.334043844,LAKESIDE,WEST REGION,JURONG EAST,WR,N,JESZ04,JE
103.7381771,1.339500188,YUHUA EAST,WEST REGION,JURONG EAST,WR,N,JESZ02,JE
103.7136675,1.335410298,CHIN BEE,WEST REGION,JURONG WEST,WR,N,JWSZ05,JW
103.702478,1.340914943,JURONG WEST CENTRAL,WEST REGION,JURONG WEST,WR,N,JWSZ09,JW
103.7569115,1.332417142,TOH TUCK,WEST REGION,CLEMENTI,WR,N,CLSZ01,CL
103.8073919,1.33260273,HILLCREST,CENTRAL REGION,BUKIT TIMAH,CR,N,BTSZ05,BT
103.8827483,1.336619487,JOO SENG,CENTRAL REGION,TOA PAYOH,CR,N,TPSZ12,TP
103.8500148,1.340173878,BRADDELL,CENTRAL REGION,TOA PAYOH,CR,N,TPSZ03,TP
103.8834456,1.313730727,ALJUNIED,CENTRAL REGION,GEYLANG,CR,N,GLSZ04,GL
103.7083068,1.318756558,LIU FANG,WEST REGION,BOON LAY,WR,N,BLSZ02,BL
103.7414424,1.347901227,BUKIT BATOK WEST,WEST REGION,BUKIT BATOK,WR,N,BKSZ06,BK
103.7674994,1.318134311,CLEMENTI NORTH,WEST REGION,CLEMENTI,WR,N,CLSZ04,CL
103.7418899,1.315414253,TEBAN GARDENS,WEST REGION,JURONG EAST,WR,N,JESZ08,JE
103.7107901,1.34622593,BOON LAY PLACE,WEST REGION,JURONG WEST,WR,N,JWSZ02,JW
103.7577584,1.348653748,BUKIT BATOK EAST,WEST REGION,BUKIT BATOK,WR,N,BKSZ08,BK
103.9336661,1.34828594,TAMPINES WEST,EAST REGION,TAMPINES,ER,N,TMSZ03,TM
103.7420918,1.356294885,BRICKWORKS,WEST REGION,BUKIT BATOK,WR,N,BKSZ03,BK
103.8968236,1.350893108,AIRPORT ROAD,EAST REGION,PAYA LEBAR,ER,N,PLSZ04,PL
103.8447106,1.354025779,MARYMOUNT,CENTRAL REGION,BISHAN,CR,N,BSSZ02,BS
103.7476432,1.384212861,CHOA CHU KANG CENTRAL,WEST REGION,CHOA CHU KANG,WR,N,CKSZ03,CK
103.7078245,1.355617398,WENYA,WEST REGION,JURONG WEST,WR,N,JWSZ01,JW
103.952739,1.353522657,TAMPINES EAST,EAST REGION,TAMPINES,ER,N,TMSZ02,TM
103.7318339,1.34749497,YUHUA WEST,WEST REGION,JURONG EAST,WR,N,JESZ01,JE
103.7660962,1.385607704,SAUJANA,WEST REGION,BUKIT PANJANG,WR,N,BPSZ02,BP
103.8203065,1.326593196,DUNEARN,CENTRAL REGION,NOVENA,CR,N,NVSZ04,NV
103.7697191,1.325782353,SUNSET WAY,WEST REGION,CLEMENTI,WR,N,CLSZ02,CL
103.8852446,1.327081531,MACPHERSON,CENTRAL REGION,GEYLANG,CR,N,GLSZ02,GL
103.9370778,1.329733275,BEDOK NORTH,EAST REGION,BEDOK,ER,N,BDSZ04,BD
103.8448602,1.332963857,TOA PAYOH CENTRAL,CENTRAL REGION,TOA PAYOH,CR,N,TPSZ02,TP
103.9255407,1.373237966,PAYA LEBAR NORTH,EAST REGION,PAYA LEBAR,ER,N,PLSZ01,PL
103.8973058,1.3759989,HOUGANG EAST,NORTH-EAST REGION,HOUGANG,NER,N,HGSZ03,HG
103.8990248,1.371032137,KANGKAR,NORTH-EAST REGION,HOUGANG,NER,N,HGSZ02,HG
103.7665699,1.37537359,JELEBU,WEST REGION,BUKIT PANJANG,WR,N,BPSZ05,BP
103.888817,1.375042185,HOUGANG WEST,NORTH-EAST REGION,HOUGANG,NER,N,HGSZ04,HG
103.910339,1.372647074,PAYA LEBAR WEST,EAST REGION,PAYA LEBAR,ER,N,PLSZ03,PL
103.7741704,1.376968645,BANGKIT,WEST REGION,BUKIT PANJANG,WR,N,BPSZ04,BP
103.7921573,1.340338225,SWISS CLUB,CENTRAL REGION,BUKIT TIMAH,CR,N,BTSZ02,BT
103.7367235,1.379391473,PENG SIANG,WEST REGION,CHOA CHU KANG,WR,N,CKSZ04,CK
103.9531683,1.340188905,SIMEI,EAST REGION,TAMPINES,ER,N,TMSZ04,TM
103.8398879,1.382359817,YIO CHU KANG WEST,NORTH-EAST REGION,ANG MO KIO,NER,N,AMSZ09,AM
103.7550389,1.38263272,TECK WHYE,WEST REGION,CHOA CHU KANG,WR,N,CKSZ01,CK
103.7705863,1.384497861,FAJAR,WEST REGION,BUKIT PANJANG,WR,N,BPSZ03,BP
103.760215,1.385174035,SENJA,WEST REGION,BUKIT PANJANG,WR,N,BPSZ01,BP
103.8901292,1.385687976,COMPASSVALE,NORTH-EAST REGION,SENGKANG,NER,N,SESZ05,SE
103.8460221,1.384413886,YIO CHU KANG,NORTH-EAST REGION,ANG MO KIO,NER,N,AMSZ10,AM
103.9245174,1.355868693,PAYA LEBAR EAST,EAST REGION,PAYA LEBAR,ER,N,PLSZ02,PL
103.8880422,1.358432655,LORONG AH SOO,NORTH-EAST REGION,HOUGANG,NER,N,HGSZ07,HG
103.8801065,1.361777338,KOVAN,NORTH-EAST REGION,HOUGANG,NER,N,HGSZ06,HG
103.855975,1.362787996,CHONG BOON,NORTH-EAST REGION,ANG MO KIO,NER,N,AMSZ03,AM
